======== Profiling result:
======== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 560 Ti (0)"
    Kernel: void mtf_cuda_2buffers<int=4096, int=4, unsigned int>(unsigned char const *, unsigned char*, int, int)
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                               gld_request    36716918    36716918    36716918    36716918
          1                               gst_request    36708352    36708352    36708352    36708352
          1                               shared_load    40518034    40518034    40518034    40518034
          1                              shared_store    75304969    75304969    75304969    75304969
          1                                    branch    44871115    44871115    44871115    44871115
          1                          divergent_branch           0           0           0           0
          1                             active_cycles   424345680   424345680   424345680   424345680
          1                            inst_issued1_0   231568042   231568042   231568042   231568042
          1                            inst_issued2_0    89791939    89791939    89791939    89791939
          1                            inst_issued1_1   231418937   231418937   231418937   231418937
          1                            inst_issued2_1    89748211    89748211    89748211    89748211
          1                             inst_executed   820467872   820467872   820467872   820467872
          1                            warps_launched        4484        4484        4484        4484
          1                          threads_launched      143488      143488      143488      143488
          1                    thread_inst_executed_0  1.0258e+10  1.0258e+10  1.0258e+10  1.0258e+10
          1                    thread_inst_executed_2  2873338976  2873338976  2873338976  2873338976
          1                    thread_inst_executed_1  1.0252e+10  1.0252e+10  1.0252e+10  1.0252e+10
          1                    thread_inst_executed_3  2871939680  2871939680  2871939680  2871939680
          1                              active_warps  9517303812  9517303812  9517303812  9517303812
          1                 tex0_cache_sector_queries           0           0           0           0
          1                  tex0_cache_sector_misses           0           0           0           0
          1                 tex1_cache_sector_queries           0           0           0           0
          1                  tex1_cache_sector_misses           0           0           0           0
          1                           sm_cta_launched        1124        1124        1124        1124
          1                         l1_local_load_hit           0           0           0           0
          1                        l1_local_load_miss           0           0           0           0
          1                        l1_local_store_hit           0           0           0           0
          1                       l1_local_store_miss           0           0           0           0
          1                        l1_global_load_hit    29597200    29597200    29597200    29597200
          1                       l1_global_load_miss     6980464     6980464     6980464     6980464
          1          uncached_global_load_transaction           0           0           0           0
          1                  global_store_transaction    36700160    36700160    36700160    36700160
          1                   l1_shared_bank_conflict           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                     fb_subp0_read_sectors     1062163     1062163     1062163     1062163
          1                     fb_subp1_read_sectors     1057100     1057100     1057100     1057100
          1                    fb_subp0_write_sectors    16233711    16233711    16233711    16233711
          1                    fb_subp1_write_sectors    16247710    16247710    16247710    16247710
          1              l2_subp0_write_sector_misses    16267773    16267773    16267773    16267773
          1              l2_subp1_write_sector_misses    16247710    16247710    16247710    16247710
          1               l2_subp0_read_sector_misses     1061054     1061054     1061054     1061054
          1               l2_subp1_read_sector_misses     1055652     1055652     1055652     1055652
          1             l2_subp0_write_sector_queries    18354176    18354176    18354176    18354176
          1             l2_subp1_write_sector_queries    18354176    18354176    18354176    18354176
          1              l2_subp0_read_sector_queries    13813944    13813944    13813944    13813944
          1              l2_subp1_read_sector_queries    14351728    14351728    14351728    14351728
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1                 l2_subp0_read_hit_sectors    13652172    13652172    13652172    13652172
          1                 l2_subp1_read_hit_sectors    14024560    14024560    14024560    14024560
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1                         elapsed_cycles_sm   434255784   434255784   434255784   434255784
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           2           2           2           2
          1        l2_subp0_total_read_sector_queries    13663059    13663059    13663059    13663059
          1        l2_subp1_total_read_sector_queries    15158872    15158872    15158872    15158872
          1       l2_subp0_total_write_sector_queries    18354178    18354178    18354178    18354178
          1       l2_subp1_total_write_sector_queries    18354182    18354182    18354182    18354182
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                             gld_inst_8bit  1174941376  1174941376  1174941376  1174941376
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit    36708352    36708352    36708352    36708352
